chebi_uri	type	count
http://purl.obolibrary.org/obo/CHEBI_35475	NSAID	role	1
http://purl.obolibrary.org/obo/CHEBI_140224	16(S),17(S)-epoxy-DPAn-3	chemical	2
http://purl.obolibrary.org/obo/CHEBI_60637	(GlcNAc)2 (Man)7bc	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15354	Cho	chemical	55
http://purl.obolibrary.org/obo/CHEBI_15522	FOR-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_31697	Oxindole	chemical	1
http://purl.obolibrary.org/obo/CHEBI_1294	20a,22b-DHCHOL	chemical	4
http://purl.obolibrary.org/obo/CHEBI_48416	OLMS	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16243	quercetin	chemical	1
http://purl.obolibrary.org/obo/CHEBI_73316	dNDP(3-)	chemical	9
http://purl.obolibrary.org/obo/CHEBI_16091	DCHOL	chemical	3
http://purl.obolibrary.org/obo/CHEBI_28834	DCA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_53488	DPAn-3	chemical	5
http://purl.obolibrary.org/obo/CHEBI_7794	phosphate monoester	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16265	SUCCSA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_27402	(S)-3-hydroxypalmitoyl-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_36190	HXA3	chemical	1
http://purl.obolibrary.org/obo/CHEBI_33019	PPi(3-)	chemical	8
http://purl.obolibrary.org/obo/CHEBI_17790	methanol	chemical	1
http://purl.obolibrary.org/obo/CHEBI_4828	ERGT	chemical	2
http://purl.obolibrary.org/obo/CHEBI_17310	PXL	chemical	2
http://purl.obolibrary.org/obo/CHEBI_29985	Glu	chemical	34
http://purl.obolibrary.org/obo/CHEBI_15355	AcCho	chemical	19
http://purl.obolibrary.org/obo/CHEBI_18406	AICAR	chemical	2
http://purl.obolibrary.org/obo/CHEBI_61907	MCFA-CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15473	Crotonoyl-CoA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_28509	VC	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15527	ICS-CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17407	E,E-FPP	chemical	3
http://purl.obolibrary.org/obo/CHEBI_78582	AFQ1	chemical	1
http://purl.obolibrary.org/obo/CHEBI_63666	Heparan sulfate chain	chemical	2
http://purl.obolibrary.org/obo/CHEBI_33184	LCFA-CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_82624	TDM	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17509	MTAD	chemical	7
