reaction.stId,control_event.dbId,active_unit.stId
R-HSA-8867041,8867039,R-HSA-179837
R-HSA-182986,183057,R-HSA-112199
R-HSA-183084,182995,R-HSA-112199
R-HSA-183058,182979,R-HSA-179837
R-HSA-182993,183074,R-HSA-182923
R-HSA-183089,183074,R-HSA-182923
R-HSA-182969,183047,R-HSA-179837
R-HSA-183036,183039,R-HSA-182923
R-HSA-825631,163619,R-HSA-163618
R-HSA-5674373,5674372,R-HSA-5672721
R-HSA-5674022,5674008,R-HSA-5672938
R-HSA-5658424,5658421,R-HSA-180582
R-HSA-1433488,1433495,R-HSA-211064
R-HSA-1433506,1448700,R-HSA-211064
R-HSA-1433542,1433444,R-HSA-211064
R-HSA-1433514,1433507,R-HSA-74693
R-HSA-1433418,2447206,R-HSA-210620
R-HSA-1433471,1433439,R-HSA-64847
R-HSA-3215295,3215307,R-HSA-3215278
R-HSA-5689972,5689981,R-HSA-5689946
R-HSA-6792863,6792864,R-HSA-6792873
R-HSA-392530,392534,R-HSA-389388
R-HSA-389758,389754,R-HSA-389744
R-HSA-2730870,2730890,R-HSA-74693
R-HSA-2454239,2454234,R-HSA-2892443
R-HSA-2730847,2730877,R-HSA-2685653
R-HSA-5607742,5607707,R-HSA-5607649
R-HSA-5607732,5607713,R-HSA-5607643
R-HSA-2730863,2730878,R-HSA-2685606
R-HSA-2730882,2730854,R-HSA-2454229
R-HSA-5607745,5607711,R-HSA-58268
R-HSA-202500,202517,R-HSA-202527
R-HSA-202510,202514,R-HSA-168163
R-HSA-202453,203801,R-HSA-166366
R-HSA-2730876,2730866,R-HSA-202527
R-HSA-202541,202546,R-HSA-202506
R-HSA-170979,170980,R-HSA-3008667
R-HSA-9612980,9612979,R-HSA-167224
R-HSA-167019,181813,R-HSA-166450
R-HSA-5686071,5686069,R-HSA-64847
R-HSA-171026,170999,R-HSA-171001
R-HSA-109807,109806,R-HSA-64847
R-HSA-5218812,5218848,R-HSA-5218745
R-HSA-5218814,5218835,R-HSA-211604
R-HSA-5218806,5218846,R-HSA-200917
R-HSA-2424477,2424479,R-HSA-64847
R-HSA-2730888,2730859,R-HSA-2685652
R-HSA-2730858,2730853,R-HSA-2685603
R-HSA-2730833,2730839,R-HSA-1861712
R-HSA-1678920,1678966,R-HSA-1678971
R-HSA-1678920,1678966,R-HSA-350135
R-HSA-2428926,2445137,R-HSA-2404188
R-HSA-2404199,2404194,R-HSA-2404180
R-HSA-165692,165690,R-HSA-165662
R-HSA-165718,165690,R-HSA-165662
R-HSA-380979,5673773,R-HSA-165190
R-HSA-200421,380980,R-HSA-380954
